,data_ucd,obs_description,hips_order,hips_order_min,moc_access_url,hips_frame,obs_superseded_by,obs_initial_fov,web_access_url,dataproduct_type,hips_release_date,tap_tablename,hips_status,vizier_popularity,publisher_id,tap_service_url,bib_reference,obs_collection,obs_initial_ra,obs_release_date,obs_copyright,publisher_did,obs_collection_label,hips_service_url,obs_label,obs_copyright_url,nb_rows,moc_type,obs_id,obs_initial_dec,moc_sky_fraction,moc_order,client_category,obs_regime,cs_service_url,sia_service_url,TIMESTAMP,obs_description_url,ID,obs_astronomy_kw,obs_title,hips_tile_format
0,"['src.class', 'meta.id', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'src.class.starGalaxy', 'time.epoch', 'phys.angSize;src', 'pos.angDistance', 'phys.angSize;em.opt.U', 'pos.posAng', 'phys.angSize', 'pos.eq.ra', 'pos.eq.dec']",SDSS-DR3 photometric catalog,,,http://alasky.unistra.fr/footprints/tables/vizier/II_259_sdss3/MOC?nside=2048,,II/267,0.11451621372724685,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=II%2F259%2Fsdss3&,catalog,,,,0.0,ivo://CDS,,2005AJ....129.1755A,SDSS-DR3,45.0,2006-09-14T19:48:22Z,,,"['SDSS-DR3', 'SDSS', 'SDSS3']",,sdss3,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/259,184508753.0,smoc,II/259/sdss3,0.07460390065517808,0.135,9.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=II%2F259%2Fsdss3&,,1652239366000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/259,CDS/II/259/sdss3,Photometry:wide-band,"The SDSS Photometric Catalog, Release 3 (Abazajian+ 2005) (sdss3)",
1,"['src.class', 'meta.id', 'stat.correlation', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'src.class.starGalaxy', 'time.epoch', 'phys.angSize;src', 'pos.angDistance', 'phys.angSize;em.opt.U', 'pos.posAng', 'phys.angSize', 'pos.eq.ra', 'pos.eq.dec']",output of the SDSS-DR4 photometric catalog,,,http://alasky.unistra.fr/footprints/tables/vizier/II_267_sdss4/MOC?nside=2048,,II/276,0.11451621372724685,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=II%2F267%2Fsdss4&,catalog,,,,0.0,ivo://CDS,,2006ApJS..162...38A,SDSS-DR4,45.0,2007-03-02T14:00:46Z,,,"['SDSS-DR4', 'SDSS', 'SDSS4']",,sdss4,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/267,180235043.0,smoc,II/267/sdss4,0.07460390065517808,0.1693,9.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=II%2F267%2Fsdss4&,,1652239390000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/267,CDS/II/267/sdss4,Photometry:wide-band,"The SDSS Photometric Catalog, Release 4 (Adelman-McCarthy+, 2006) (sdss4)",
2,"['time.epoch', 'src.class', 'meta.id', 'stat.correlation', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'src.class.starGalaxy', 'phys.angSize;src', 'pos.angDistance', 'phys.angSize;em.opt.U', 'pos.posAng', 'phys.angSize', 'pos.eq.ra', 'pos.eq.dec']",output of the SDSS-DR5 photometric catalog,,,http://alasky.unistra.fr/footprints/tables/vizier/II_276_sdss5/MOC?nside=2048,,II/282,0.11451621372724685,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=II%2F276%2Fsdss5&,catalog,,,,0.0,ivo://CDS,,,SDSS-DR5,45.0,2007-03-16T14:44:53Z,,,"['SDSS-DR5', 'SDSS', 'SDSS5']",,sdss5,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/276,218218198.0,smoc,II/276/sdss5,0.07460390065517808,0.2018,9.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=II%2F276%2Fsdss5&,,1652239340000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/276,CDS/II/276/sdss5,Photometry:wide-band,"The SDSS Photometric Catalog, Release 5 (Adelman-McCarthy+, 2007) (sdss5)",
3,"['src.class', 'meta.id', 'stat.correlation', 'src.redshift', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'src.class.starGalaxy', 'time.epoch;obs', 'phys.angSize;src', 'pos.angDistance', 'phys.angSize;em.opt.U', 'pos.posAng', 'phys.angSize', 'pos.pm;pos.eq.ra', 'pos.pm;pos.eq.dec', 'stat.fit.residual', 'pos.eq.ra', 'pos.eq.dec', 'time.epoch;obs;stat.mean']",output of the SDSS-DR6 photometric catalog,,,http://alasky.unistra.fr/footprints/tables/vizier/II_282_sdss6/MOC?nside=2048,,II/294,0.11451621372724685,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=II%2F282%2Fsdss6&,catalog,,,,0.0,ivo://CDS,,2008ApJS..175..297A,SDSS-DR6,45.0,2009-05-29T14:32:27Z,,,"['SDSS-DR6', 'SDSS', 'SDSS6']",,sdss6,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/282,230417920.0,smoc,II/282/sdss6,0.07460390065517808,0.2099,9.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=II%2F282%2Fsdss6&,,1652239375000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/282,CDS/II/282/sdss6,"['Photometry:wide-band', 'Redshifts']","The SDSS Photometric Catalog, Release 6 (Adelman-McCarthy+, 2007) (sdss6)",
4,"['src.class', 'meta.id', 'stat.correlation', 'src.redshift', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'src.class.starGalaxy', 'time.epoch', 'phys.angSize;src', 'pos.angDistance', 'phys.angSize;em.opt.U', 'pos.posAng', 'phys.angSize', 'pos.pm;pos.eq.ra', 'pos.pm;pos.eq.dec', 'stat.fit.residual', 'pos.eq.ra', 'pos.eq.dec', 'time.epoch;obs;stat.mean']",output of the SDSS photometric catalog,10.0,1.0,http://alasky.unistra.fr/footprints/tables/vizier/II_294_sdss7/MOC?nside=2048,equatorial,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=II%2F294%2Fsdss7&,catalog,2017-09-12T11:47Z,,public master unclonable,80.0,ivo://CDS,,2009ApJS..182..543A,SDSS-DR7,,2010-01-18T16:16:51Z,,,"['SDSS-DR7', 'SDSS', 'SDSS7']",https://axel.cds.unistra.fr/HiPSCatService/II/294/sdss7,sdss7,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/294,65714108.0,,II/294/sdss7,,,,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=II%2F294%2Fsdss7&,,1654983721000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/294,CDS/II/294/sdss7,"['Redshifts', 'Photometry:wide-band']","The SDSS Photometric Catalog, Release 7 (Adelman-McCarthy+, 2009) (sdss7)",tsv
5,"['src.class', 'meta.id', 'pos.eq.ra', 'pos.eq.dec', 'src.redshift', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'time.epoch;obs;stat.mean', 'src.class.starGalaxy', 'time.epoch', 'phys.angSize;src', 'pos.angDistance', 'src.ellipticity', 'pos.posAng', 'pos.pm;pos.eq.ra', 'pos.pm;pos.eq.dec', 'stat.fit.residual']",output of the SDSS photometric catalog,,,http://alasky.unistra.fr/footprints/tables/vizier/II_306_sdss8/MOC?nside=2048,,V/139,0.11451621372724685,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=II%2F306%2Fsdss8&,catalog,,,,6.0,ivo://CDS,,2011yCat.2306....0A,SDSS-DR8,45.0,2012-03-29T23:23:31Z,,,"['SDSS-DR8', 'SDSS', 'SDSS8']",,sdss8,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/306,324960076.0,smoc,II/306/sdss8,0.07460390065517808,0.3648,9.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=II%2F306%2Fsdss8&,,1653880967000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/II/306,CDS/II/306/sdss8,"['Photometry:wide-band', 'Redshifts']","The SDSS Photometric Catalog, Release 8 (Adelman-McCarthy+, 2011) (sdss8)",
6,"['meta.id', 'pos.eq.ra', 'pos.eq.dec', 'pos.eq.ra;arith.diff', 'pos.eq.dec;arith.diff', 'src.class', 'src.redshift', 'src.morph.type', 'src.morph.param', 'phys.angSize', 'phys.angSize;arith.ratio', 'pos.posAng', 'phot.mag;em.opt.B']",Physical parameters of SNe and their host galaxies,,,http://alasky.unistra.fr/footprints/tables/vizier/J_A+A_544_A81_snsdss/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FA%2BA%2F544%2FA81%2Fsnsdss&,catalog,,,,1.0,ivo://CDS,,2012A&A...544A..81H,,45.26367187500001,2012-08-03T09:14:56Z,,,,,snsdss,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/544/A81,3876.0,smoc,J/A+A/544/A81/snsdss,0.3543706872890949,7.347e-05,11.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FA%2BA%2F544%2FA81%2Fsnsdss&,,1652239378000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/544/A81,CDS/J/A+A/544/A81/snsdss,"['Galaxies', 'Photometry', 'Positional_Data', 'SuperNovae']","Supernovae and their hosts in the SDSS DR8 (Hakobyan+, 2012) (snsdss)",
7,"['meta.id', 'pos.eq.ra', 'pos.eq.dec', 'pos.angDistance', 'src.class.starGalaxy', 'phot.mag;em.opt.U', 'phys.angSize;src', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'src.class', 'src.redshift.phot']",All GUViCS-SDSS matched point-like sources (J2),,,http://alasky.unistra.fr/footprints/tables/vizier/J_A+A_569_A124_guv_sdss/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FA%2BA%2F569%2FA124%2Fguv_sdss&,catalog,,,,1.0,ivo://CDS,,2014A&A...569A.124V,GUViCS,180.0,2015-02-16T18:44:40Z,,,"['GUViCS', 'VPS']",,guv_sdss,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/569/A124,1056793.0,smoc,J/A+A/569/A124/guv_sdss,-0.01865097022296821,0.004645,11.0,,UV,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FA%2BA%2F569%2FA124%2Fguv_sdss&,,1652239382000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/569/A124,CDS/J/A+A/569/A124/guv_sdss,"['Photometry', 'Galaxies', 'Clusters_of_galaxies']","GUViCS. Ultraviolet Source Catalogs (Voyer+, 2014) (guv_sdss)",
8,"['meta.id', 'time.epoch', 'src.redshift', 'spect.line.eqWidth;em.line.Halpha', 'spect.line.eqWidth;em.line.Hdelta', 'spect.line.eqWidth', 'stat.fit.goodness', 'pos.eq.ra', 'pos.eq.dec']",E+A galaxies from SDSS DR7,,,http://alasky.unistra.fr/footprints/tables/vizier/J_A+A_597_A134_psb_sdss/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FA%2BA%2F597%2FA134%2Fpsb_sdss&,catalog,,,,0.0,ivo://CDS,,2017A&A...597A.134M,,44.71435546875001,2017-01-20T10:17:55Z,,,,,psb_sdss,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/597/A134,2665.0,smoc,J/A+A/597/A134/psb_sdss,0.5968418305070143,5.29e-05,11.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FA%2BA%2F597%2FA134%2Fpsb_sdss&,,1652239376000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/597/A134,CDS/J/A+A/597/A134/psb_sdss,"['AGN', 'Galaxies', 'Galaxies:spectra']","Kohonen selected E+A galaxies from SDSS DR7 (Meusinger+, 2017) (psb_sdss)",
9,"['meta.id', 'pos.eq.ra', 'pos.eq.dec', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I']",SDSS candidate globular clusters,,,http://alasky.unistra.fr/footprints/tables/vizier/J_AJ_143_52_sdss_cl/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FAJ%2F143%2F52%2Fsdss_cl&,catalog,,,,0.0,ivo://CDS,,2012AJ....143...52S,SSC2012,187.09438775510205,2013-05-02T10:37:39Z,,,SSC2012,,sdss_cl,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/AJ/143/52,20.0,smoc,J/AJ/143/52/sdss_cl,44.003081894783186,3.178e-07,11.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FAJ%2F143%2F52%2Fsdss_cl&,,1652239385000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/AJ/143/52,CDS/J/AJ/143/52/sdss_cl,"['Globular_Clusters', 'Stars', 'Galaxies', 'Velocities']","Old star clusters in NGC 4449 from HST imaging (Strader+, 2012) (sdss_cl)",
